dock_name,dock_id,_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16,_17,_18,_19,_20,_21,_22,_23
W 52 St & 11 Ave,72,0.30606060606060603,0.30276679841897236,0.30051948051948046,0.2972972972972972,0.28792401628222525,0.31564828614008933,0.32655502392344504,0.27082767978290362,0.21460055096418731,0.21043219076005956,0.22963885429638858,0.20808080808080803,0.21646191646191648,0.21871657754010684,0.20441558441558438,0.24276568501920612,0.2194622279129321,0.21420454545454543,0.21010101010101007,0.23022113022113025,0.24179104477611937,0.28014354066985653,0.29747474747474745
Franklin St & W Broadway,79,,,0.25714285714285712,0.25714285714285712,0.25714285714285712,0.22857142857142856,0.2857142857142857,0.4,0.48571428571428571,0.62857142857142856,,,,,,,,,,,,,
St James Pl & Pearl St,82,0.35164835164835168,0.375,0.37500000000000006,0.41208791208791212,0.40413533834586468,0.44285714285714289,0.45634920634920634,0.41596638655462187,0.31578947368421051,0.3035714285714286,0.3839285714285714,0.37202380952380953,0.31547619047619052,0.46753246753246758,0.40659340659340659,0.40476190476190477,0.41369047619047616,0.35714285714285715,0.34226190476190477,0.38961038961038952,0.39583333333333331,0.3839285714285714,0.37500000000000006
Atlantic Ave & Fort Greene Pl,83,0.37300954918389956,0.3742357552004823,0.37320058842072,0.37342531872686163,0.36728110599078323,0.37387506442362239,0.38822341073024219,0.400696253255861,0.4140554778787579,0.42341923241721241,0.42307176718622425,0.42627867042806289,0.43069847015943069,0.42920448545495726,0.43555921093936373,0.43194304435483871,0.43674278306825565,0.43628542757844208,0.44030564092635993,0.44817388999975905,0.4425047438330173,0.42450513860795741,0.41017206793007627
W 17 St & 8 Ave,116,0.31658037475345169,0.31333760288431922,0.31089580810251216,0.30524197077098025,0.30298324685326211,0.30732878935410568,0.30976355355917429,0.31748449570231718,0.3662181286128906,0.41093673024139671,0.42575153716831904,0.43945901813922128,0.43664495307253343,0.42152401589021254,0.38130764401950829,0.34612342253538242,0.28348853219319542,0.24074273863895179,0.25678715710870087,0.26996134992458526,0.30124436094585388,0.31950987471774128,0.32809921426636124
Park Ave & St Edwards St,119,0.51936589381784715,0.52476505427573161,0.51940662466978338,0.52594223698955977,0.52496729395189945,0.522805649068067,0.51141892163564084,0.49647955809701627,0.46720439466914176,0.44401879564454327,0.42545591987149239,0.42200266007980253,0.42313552294073425,0.42599299295358894,0.43603965069624723,0.449206692487662,0.46206576042755954,0.48899208806329553,0.51140508362468029,0.51432068543451714,0.517568517217148,0.52218853866101589,0.52687365343182635
Lexington Ave & Classon Ave,120,0.57778833365000815,0.57696162126048534,0.57689364957919,0.57709070299216347,0.57359635811836174,0.5491187459389214,0.50181659353967778,0.41418764302059485,0.29207277452891467,0.25355807333817004,0.24655111425539403,0.25086534323722554,0.25016990107981574,0.24643760055159714,0.2479830964271996,0.26210142143680315,0.2826898890963836,0.32773502593195908,0.40862624541649684,0.46322772713907728,0.50081782494911331,0.52754976125328623,0.5492304769143066
Barrow St & Hudson St,127,0.58333333333333337,0.61111111111111116,0.55555555555555558,0.55555555555555558,0.47222222222222221,0.44444444444444442,0.552469135802469,0.40740740740740744,0.33585858585858586,0.48148148148148145,0.43686868686868691,0.52272727272727271,0.54629629629629639,0.56060606060606066,0.43253968253968256,0.22222222222222221,0.35555555555555557,0.11666666666666667,0.24537037037037038,0.412037037037037,0.37962962962962965,0.37037037037037035,0.56746031746031744
MacDougal St & Prince St,128,,,,,,,0.1875,0.125,0.072916666666666671,0.09375,0.1875,0.375,0.30625,0.46875,0.53125,0.59375,0.69375,0.859375,,,,,
E 56 St & Madison Ave,137,,,,,0.099773242630385492,0.093877551020408165,0.25714285714285712,,,,,,,,,,,,,,,,
Clinton St & Joralemon St,143,0.42518128863528326,0.425756784968684,0.430503025718609,0.4311873318659819,0.43215532286212877,0.45990296803652908,0.51595844253088985,0.5257986738999415,0.45777857742593331,0.43859955726435929,0.42773119030980639,0.41846870604782049,0.42468005687877691,0.41463890891612543,0.418050042102731,0.40459811730629985,0.382771401243424,0.36594909047956486,0.37976398601398648,0.40207319898077426,0.42108866826429303,0.43693731712806727,0.43994396757272242
Nassau St & Navy St,144,0.4670614359733527,0.45943378301348997,0.46683983754921893,0.46360794153374324,0.46830535652668137,0.47339491248734283,0.47434915773353736,0.48057131676775594,0.49057155671691316,0.50752419842710239,0.50960795036678141,0.51009372746935744,0.51214280242090016,0.50298226185619177,0.50791707952050646,0.49639416029862937,0.4916805647131835,0.487714214910692,0.49294288352460119,0.48713159762429464,0.48301788955146457,0.48313887568121022,0.48152627677421844
Hudson St & Reade St,146,,,,,,,,,0.0975609756097561,0.17560975609756097,0.29268292682926833,0.4731707317073171,0.54268292682926833,0.61951219512195121,0.69512195121951215,0.71951219512195119,,,,,,,
